address,ion-total
osmo12pacz5tyulvluu0tl6kld3txhdu70dxg4jj2p7,0.963051
osmo12pd6h5xd5gputhctkdxy9zatlpwuej0l7a0agn,0.633238
osmo12pek06px76y2mr2fp7ew4wz8asxv3rpwgvdjww,2.030399
osmo12pnn4zl8cqwd3gedv8ydeq5x5x2pl5uj9gg6hy,1.0
osmo12pnnsmcycp5d00gmqjza6wu2qhcyltdr86zrr9,0.031677
osmo12q9urhjzrkpkuf4cq2mrhqtqfwgvejtegneqcw,2.0
osmo12qr5w3cxn9ym67095hqmn3ryg5ue5hxdmv0edg,0.009588
osmo12rh3luq9gjt6hrne2unv6ndzgy2uucspncpwl9,0.004406
osmo12rm33yfsm6cqg9n45wseqqctks88jmespju4xw,1.907281
osmo12rp0rj5nw20xu6ullcjvsvuemmp53e7njzhn3m,1.914337
osmo12ryl99et99zhws3xrqc2xq9z0z0vy06wdfqu5n,0.002283
osmo12s9hjhadsemrnp6d786y5pzh03ngmvt0r780l2,0.388763
osmo12scnajjddcrkskht7mj7qplzxh7zkzfwey0qdd,0.486268
osmo12sczd7vmheqat355txqducgm6fk86ye4eel33f,15.270763
osmo12sm9vfj4m95nr0974kjhjlfx4eyum37h925mez,0.845632
osmo12spx0h0fut2wtsk7jtexe247jnpz7ezwvqxh7u,0.407907
osmo12t0jh53ufgw0ept6hkcd5gaqupnpakd4994pr6,1.0
osmo12t82zq2wmdccemu3x4mlx2l3ye7rewx5hc8nww,1.103199
osmo12takrk3gtnzvhglyldhnu9pghvqgxt8kvfjg8u,0.909827
osmo12tc02wts4kmjs079zmytn7w5pl32e9xzn3cj3w,0.28354
osmo12tdulmvjmsmpaqrpshz0emu0h9sqz5x5vltjjv,1.637694
osmo12tkp0de6zwq8p4rvvqaknwexxtx9jxvh637gpf,0.001193
osmo12tm47mx4uuzp7sajrt3wnu7e32drdpy8xskgku,1e-06
osmo12tzy3enyqdc6yzdgyqj5lh5adcz4y50c9lttju,0.053227
osmo12u4ucpu42s9r0uth4k9hrpzfspdrp4lhpv32rc,0.690689
osmo12usue8q9w5mmvuteh0k40h0zzutlm9k0c36am2,4.127958
osmo12uuweyuphf6mlajazkpxke2hxwdfew2wgxz2ws,0.095798
osmo12wmptq2zm3s2d8c0xukwj3fkcl0qw66wmxwr7x,11.492276
osmo12wn2hrsr56ej5fzyk9sfcwpulhyclrzggthz8c,7.2e-05
osmo12wsvehxqc9an5da9rlzgv5lwjaa7ccparjdfrl,0.644352
osmo12wtm84yh5t0jmmunvscgj6vl2rs73pau7lg49u,1.0
osmo12x4lu5ma6cuqzqys48fmm2fq5ttpzcr8687fqx,0.029161
osmo12xenugjgh9pevjz0hd935ee3zqhpvwstzf2jpf,1.0
osmo12xerrhq8luxlkwqytk9hyd2fp6wnqnemrc4ssw,3.6e-05
osmo12xv9swwsh3npx6kz2ckk0cpxw9psgva9c74l58,1.304288
osmo12y5pdr0q4clk5jquc0s7ysne37kyg3neqp6wl4,0.002448
osmo12ysc6z4fnkwlnf54ur58eq7r0er0k0j58qc7s5,0.153315
osmo12z2988anxfkyrn9jtd942xgjlxqk6t8m5cxage,0.454933
osmo12zqvs2lu2wsvp9uyzre5vc39zrxrshdfd7g7r5,0.021245
osmo12zrmvcgrtafpcat3wh3umfqjc8td83p2r8qqml,0.411941
osmo130mdu9a0etmeuw52qfxk73pn0ga6gawktly65g,21.069411
osmo130p62l99h7672uhe7n9jhc5msfc2vdd8ls2wn6,0.455406
osmo1323790xwgfyg0qs694s9c5rfzq376vvh3mqncr,0.353886
osmo132yvlsuf0ufpt5tcsvtr30qqlwn6h5a2u8qat0,0.007528
osmo13306hrp8e9y9z8lv5h2eccupffj8kw95hwx292,0.018961
osmo133naf89tw4499khmd480an0m6768rp9jls7dsk,1.016393
osmo133t8m00w7llsslnf05zdhehharntly8dt2x2cj,12.0
osmo133vndxa3ejdjh7utrkmaterq4hfcng0he8gafd,0.22169
osmo1347c4efvna2mkn3ywlnhtwmlat5f2y50ppxwsm,1.985176
osmo134etyls3hfkt3alwl09w3nnfqrdhqa7nq9mhm2,1.85533
osmo134t745tjhrwwzevuprrqhpjwshzdnukfme5tmd,0.113119
osmo1352qm92l6p3w4jldzd66yl9xl4c84zedtaeq4k,1.0
osmo135c82rgh2s5g36cepsv6r3s87dgp0dmrs5vmvq,1.0
osmo135deqfcwn4q7ynlwqf77e3d43r43852jk68ayf,0.962564
osmo135k5uym2xh7pzhafzamfa5fchkeerl98ekyklm,0.05276
osmo135lrgz7nwffg3emustxfjeqjn462mxsmwf2whp,0.000149
osmo135qla4294zxarqhhgxsx0sw56yssa3z0p953da,2.0
osmo1367ty4dl6lyfwswk47a2qagzulesg7s9659qpv,0.004517
osmo136h5ksxhk588mqdkgawnh209pmmwsdw7j8vn65,0.946176
osmo136hvf8mvh4ufde8wcjym9zhgaz30zdajwsefm8,1.0
osmo136zany3pyscvedkew5h8j9nr4j98azgm0q3vdd,0.258887
osmo137uqhz0u6h0zpn3w5rmhtr98d4m80hf9jqd32j,1.840195
osmo1387twcs2gwzh3pmrwjrycwzvxpycdtv4w0zurf,1.009747
osmo138shr4vjlalwy7260q2ta30lrfyzlmk8nth7cx,1e-06
osmo138yjsaz40xurlayc50k448k2vemky4ag64u02r,0.927291
osmo13944048lk3j8kz9q040nus2awvlfwmrvqeaynm,1.534413
osmo139erd8jvh4ny0fd7jvyqfl7m4fcqttyh56s8yj,0.017655
osmo139fg9hfatne44y9e8drx07ultvyed9hlxekvpx,1.0
osmo139hd72ukrxq49hdv8d5dh8efez3lezums0707c,6e-06
osmo13acu2gmykq658hht7x7hafhrcjlpkcrynse5uq,2.690658
osmo13ay9wed8lfgacjac3ucfrfajc6t4kk3hc4ks4y,0.25394
osmo13c6mgnfve6ja9y0jx5v0j2ylsx05nj7tal559c,0.011791
osmo13ce5xmpm08c8e48hum4t08mtax59gtgxj6ravs,1e-06
osmo13dyezaxs8zwjldqedjnu7peldxvqwkzmqzdk3d,2.0
osmo13g4t6h62v2fzn6rge8xlaqwy02xn7lfx5657g8,2.0
osmo13g5hp9wveth8dm5f60a4ydq3aknvc3wdzxjj25,0.348454
osmo13gjhk3pmmusvdrsgqwdc74fcafdmvex0h47y3q,3.367938
osmo13gvqalusnmapjgp3e6gnk9q832qv3g3ujfhmts,1.130387
osmo13hfg6jgj0xhlq0zgr0pxll2gcv03lzfwcwwjty,0.004281
osmo13hfzclxsgzywxfyh5tvhxff3mnnr6jskv2kqyz,2.0
osmo13hgplqnsp0hwlx9cesjmweadqetas57l0w2zy6,1.999848
osmo13hk90m4hyjm60y4rwztkqsganugst3m0teadlu,1.0
osmo13hqk40wep39k6rghqs979pzf7jktnjf980chq6,0.017507
osmo13hxvfec0drkvsgwrms232puyr66hsdg85zp2dn,1.0
osmo13j02j3t87jx9xgrsrv5aa8fy95atu3q6z33tv0,0.02536
osmo13jepslvn24g6n8s92fjztcymutt4kte8mymuxh,0.181794
osmo13jh9zu2jv3eym3ll6zq90qsavman3sw8aw4smy,0.20511
osmo13k6qfw70078hzfwmnxucaz22tvfst526z9tqwp,5.649028
osmo13klmx3qxht9vn7luwz2hm7g9sa6nnjaz4xhf6x,0.034228
osmo13l2cphu2rldhmygrwn2un79j05rhywnkwvvlw6,2.0
osmo13lc3a5z2leysy437ps8dwj5gs7y9tna6lj0ptx,1.004141
osmo13lfwqjqfzfe2muq3j273y2l2tuzgkrp8jt5j0u,0.852437
osmo13lmh7zyl4rtvvxyx9tszwfv4efsmfz7ar22j7j,0.316944
osmo13lmkeht48fahj6p5se2q07dwj3xczhqnw342cx,0.641786
osmo13m050t4v96jldvmmv9t7xjdcyhhernm04qy4hc,0.010338
osmo13m9gpdjfnfuff9khc39jatcjhkjkfryn34w27w,0.063696
osmo13mcn4q9gtrh38p73v4gx37ljwgtydy030uxheh,0.11947
osmo13mdcl758ve9lyh6vwz7m9707356snth4arh8dy,3.0
osmo13mzcw7ezlgzcgpls7xqxpsg5qqsxvp8j9nd52p,1.0
osmo13nfqamuxqlxqh3w609nhqf5r8vrrcz4pfahcpt,0.005351
