address,osmo-total,ion-total
osmo12xenugjgh9pevjz0hd935ee3zqhpvwstzf2jpf,321.294287,1.0
osmo12xerrhq8luxlkwqytk9hyd2fp6wnqnemrc4ssw,196.449456,3.6e-05
osmo12xv9swwsh3npx6kz2ckk0cpxw9psgva9c74l58,0.0,1.304288
osmo12y5pdr0q4clk5jquc0s7ysne37kyg3neqp6wl4,555.071138,0.002448
osmo12ysc6z4fnkwlnf54ur58eq7r0er0k0j58qc7s5,432.631493,0.153315
osmo12z2988anxfkyrn9jtd942xgjlxqk6t8m5cxage,442.558291,0.454933
osmo12zqvs2lu2wsvp9uyzre5vc39zrxrshdfd7g7r5,3968.784053,0.021245
osmo12zrmvcgrtafpcat3wh3umfqjc8td83p2r8qqml,731.730382,0.411941
osmo130mdu9a0etmeuw52qfxk73pn0ga6gawktly65g,145568.29883,21.069411
osmo130p62l99h7672uhe7n9jhc5msfc2vdd8ls2wn6,208.195637,0.455406
osmo1323790xwgfyg0qs694s9c5rfzq376vvh3mqncr,791.426755,0.353886
osmo132yvlsuf0ufpt5tcsvtr30qqlwn6h5a2u8qat0,5.490268,0.007528
osmo13306hrp8e9y9z8lv5h2eccupffj8kw95hwx292,1893.282302,0.018961
osmo133naf89tw4499khmd480an0m6768rp9jls7dsk,18.851849,1.016393
osmo133t8m00w7llsslnf05zdhehharntly8dt2x2cj,45413.15961,12.0
osmo133vndxa3ejdjh7utrkmaterq4hfcng0he8gafd,1020.937898,0.22169
osmo1347c4efvna2mkn3ywlnhtwmlat5f2y50ppxwsm,3236.063412,1.985176
osmo134etyls3hfkt3alwl09w3nnfqrdhqa7nq9mhm2,45156.505806,1.85533
osmo134t745tjhrwwzevuprrqhpjwshzdnukfme5tmd,0.03,0.113119
osmo1352qm92l6p3w4jldzd66yl9xl4c84zedtaeq4k,1578.468314,1.0
osmo135c82rgh2s5g36cepsv6r3s87dgp0dmrs5vmvq,673.706361,1.0
osmo135deqfcwn4q7ynlwqf77e3d43r43852jk68ayf,732.416886,0.962564
osmo135k5uym2xh7pzhafzamfa5fchkeerl98ekyklm,14.103779,0.05276
osmo135lrgz7nwffg3emustxfjeqjn462mxsmwf2whp,0.103665,0.000149
osmo135qla4294zxarqhhgxsx0sw56yssa3z0p953da,18.582106,2.0
osmo1367ty4dl6lyfwswk47a2qagzulesg7s9659qpv,474.697065,0.004517
osmo136h5ksxhk588mqdkgawnh209pmmwsdw7j8vn65,2116.240987,0.946176
osmo136hvf8mvh4ufde8wcjym9zhgaz30zdajwsefm8,1.857114,1.0
osmo136zany3pyscvedkew5h8j9nr4j98azgm0q3vdd,9497.898957,0.258887
osmo137uqhz0u6h0zpn3w5rmhtr98d4m80hf9jqd32j,3488.936654,1.840195
osmo1387twcs2gwzh3pmrwjrycwzvxpycdtv4w0zurf,1219.780792,1.009747
osmo138shr4vjlalwy7260q2ta30lrfyzlmk8nth7cx,4713.663149,1e-06
osmo138yjsaz40xurlayc50k448k2vemky4ag64u02r,1589.752257,0.927291
osmo13944048lk3j8kz9q040nus2awvlfwmrvqeaynm,4938.977381,1.534413
osmo139erd8jvh4ny0fd7jvyqfl7m4fcqttyh56s8yj,1254.715011,0.017655
osmo139fg9hfatne44y9e8drx07ultvyed9hlxekvpx,34.510863,1.0
osmo139hd72ukrxq49hdv8d5dh8efez3lezums0707c,133212.763884,6e-06
osmo13acu2gmykq658hht7x7hafhrcjlpkcrynse5uq,3365.354138,2.690658
osmo13ay9wed8lfgacjac3ucfrfajc6t4kk3hc4ks4y,406.457446,0.25394
osmo13c6mgnfve6ja9y0jx5v0j2ylsx05nj7tal559c,992.487556,0.011791
osmo13ce5xmpm08c8e48hum4t08mtax59gtgxj6ravs,72.65442,1e-06
osmo13dyezaxs8zwjldqedjnu7peldxvqwkzmqzdk3d,946.799333,2.0
osmo13g4t6h62v2fzn6rge8xlaqwy02xn7lfx5657g8,4904.887613,2.0
osmo13g5hp9wveth8dm5f60a4ydq3aknvc3wdzxjj25,2010.888317,0.348454
osmo13gjhk3pmmusvdrsgqwdc74fcafdmvex0h47y3q,144671.672444,3.367938
osmo13gvqalusnmapjgp3e6gnk9q832qv3g3ujfhmts,12127.82933,1.130387
osmo13hfg6jgj0xhlq0zgr0pxll2gcv03lzfwcwwjty,2.086228,0.004281
osmo13hfzclxsgzywxfyh5tvhxff3mnnr6jskv2kqyz,8654.507213,2.0
osmo13hgplqnsp0hwlx9cesjmweadqetas57l0w2zy6,28062.62297,1.999848
osmo13hk90m4hyjm60y4rwztkqsganugst3m0teadlu,1367.076862,1.0
osmo13hqk40wep39k6rghqs979pzf7jktnjf980chq6,2597.496112,0.017507
osmo13hxvfec0drkvsgwrms232puyr66hsdg85zp2dn,196.013974,1.0
osmo13j02j3t87jx9xgrsrv5aa8fy95atu3q6z33tv0,304.144845,0.02536
