Address,Genesis Qty,Clawback Qty
osmo16xdwunvp30rrd2g9997j27lh6kmdgap7c67kla,2,2.0
osmo17070wwjhlurczgm9658k7p9a8ds08shjtdf822,1,1.005627
osmo170trg09799ek4fk7sp5s2f7s6n8yhyp4nw8ks2,1,0.886313
osmo172y5tmtx47xww7l5pss62zxvqd99apf68gfmng,2,0.65
osmo17304ku5628k0jz9nhtzcv7tzef6f357cmqv3eq,1,0.01
osmo173k74w7c3pd9yfjg0mervs6kmcmelyr8wndl6q,1,1.0
osmo175tx90yzqtwv2y2523kae6takv27ljmlct60w0,1,1.0
osmo1774ydury9wqw872r9f8lrjj3srec8e2rly2laj,2,0.238281
osmo178h2jmpz3xwenl3du920zw3rweq8u3elfustx7,1,0.986352
osmo178ldagr6x47xmr7pq8h6t0k3knkt5czup9n29f,1,1.0
osmo179cl5v7dr2ww8crpeuevfvc4yy0e79g8w2hstg,1,1.997908
osmo17aq3d97lep6t5ftq8dp0ad4pc72xrhzs4shqev,2,1.049516
osmo17c0u77yaqjtgkz2gn26gf3n6p3mdmyne786m2e,1,0.511078
osmo17cyjmvrw8ejnymv8rfgfgf4efud7d8hfjqccvx,1,1.0
osmo17d30h3rsr7prsanp45um2scljryp5xueg7h9tw,1,1.0
osmo17exchtwv8fr99tzktzlq8635ae7ke4zr6pwzjy,1,1.030284
osmo17fnnjn90gawufm4ah4agk5wwdqk4nm9x3wjfhn,1,0.276225
osmo17g3wxjfy0sjr5elacp9c2p9m2wm00xntdc709a,1,0.068698
osmo17guyrfqplultaaw3ad7m0s3ggrmactywq06kjd,1,1.0
osmo17gwektezwrc798g3pzmf6tn9agt5k9vsgl4w9g,1,0.202907
osmo17hpg0ekmlv7q3qcrzkc0gkrrrytzfpaysf2l64,1,1.0
osmo17kgd0frfwzq9d7a8rp2k3sfy2euvlrdcjq9hju,2,2.0
osmo17knx6xzq7l3sanrxymvpyep3nzumvmn63w6002,3,2.730731
osmo17mrgrpdyt2e5a35zr3ej0474s2j8824csawts7,1,1.006743
osmo17n4vuetssvx09say2p0ekjjgv7aa8z060nfjmx,2,2.0
osmo17ng5jlpx47up539f2ujvwk2lqswt7dclfu6p84,1,1.0
osmo17nzlp3ht3ucpdv67d9clej524v50r6srd7jpet,2,1.706474
osmo17pz7rlzlgsne9luslvxpchn5m3p5fgrq3jml35,10,1.897394
osmo17qfp6dnfezxylpjyxxsmmw2qpgmsjewgy93ge4,1,0.427881
osmo17rjmf8q7senka2cmu3nhpxxns9wx97mf36gv9w,2,0.959748
osmo17rx4caclnlkqwlkq4hq3aq0cvj993pnfqjcz39,1,0.223964
osmo17szv873pcrvx7wde7q9n7agd6zl3z0gepanux6,1,1.0
osmo17u0djwa0z3y9e829w2u2g06tr8cd3x9p5f2a35,1,1.0
osmo17umty3pp23c2mzdfudezk8yuaqua7cc3u9vlyg,1,1.0
osmo17vmqk3muedacn2ggh5kgk9d2hsayc4qhfa4228,1,1.0
osmo17vqcum09r9a3tqhjhzd9x595g7u5ytq3xz5v4f,11,8.646721
osmo17wjj4e4xjlk6qtdk3uw432vs3pmvkv0d3p3wlg,5,4.128021
osmo17xe26vg2kjpgy25wtzpxurx8fd9nxex0ad5h4c,7,1.97579
osmo17ypesa5630raukqnpmgdll3n0c0mzfpkmx0c57,1,0.360812
osmo17yrzllqlld2rm88eaj0lvtyxsvrp95f37y5zf0,1,0.501318
osmo17ywau03pe0jfqsa4gqmzjychat579r7aew2ll8,1,1.0
osmo17zae54834swfz7nur6hnzf6wqh9vsfrksgmq9d,1,0.99649
osmo17zefp2q46ats0327lkag4f8ve5zeljeccxyvs2,2,2.0
osmo17zp8dxwj40kw0998gv6x4z669cl8dsj3u5g2dy,3,5.928423
osmo180c39urf2eekhssxxq2pn44smx7zw2r2sskq2c,1,1.0
osmo180v0kukrnjnpmw2y9ey85wrm2ckju88qyn3jx5,1,0.834799
osmo18209hfrqcwvu9gufukf73v0y0kmwlzzeymlr49,2,0.5
osmo1824l92w6eh4jqzjp6s4ykwaa42utps5tkke708,1,1.0
osmo182mzj3c7hg96fsaratn0wt2khgtgxgvl6e0n7v,1,0.955779
osmo182xlpqjrrcw9nxd8g2chzzwygx3zuk8mg6ntw3,1,0.307049
osmo183k8depl0m49ysd5mnc5fjekuclepn7gmn33xh,1,0.002293
osmo183xw8l4vs7jxx872hucdp56dfgansunz0uwcjk,1,1.0
osmo1849aeae0zp80s9e27cvpanxvqhj9j5tcsnrlcr,2,2.061431
osmo1849m9wncrqp6v4tkss6a3j8uzvuv0cp7xrmuk0,6,6.081095
osmo184k7vd2w752y95xgdf3h9adcfr3np7939ezj5t,1,1.0
osmo184qfy5vu3g5kppmv60ldgs9k2mvvjuptpvxllj,2,0.308026
osmo18560g8glq3j5fpe4x9plk4e05qv39tvtxggy85,1,1.0
osmo186sj2kq43zzeyn85pngf8rqdjqt647yghpcx7w,2,0.733156
osmo1882k0v9pqcalxhq66e2pdct9kqkd42fhuq4cy2,1,1.0
osmo189n8jcs42t56rzs7cur9wtz9pfz3sxacc06gkh,3,3.0
